# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "data/genome/Saccharomyces_cerevisiae.R64-1-1.109.gtf" "-o" "results/counts/count_matrix.txt" "-T" "4" "-p" "-g" "gene_id" "-t" "exon" "-s" "0" "results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam
YOR320C	XV	913619	915094	-	1476	63	160	1461	1754	2562	276	549
YOR222W	XV	758330	759253	+	924	206	236	1435	1669	2394	197	477
YOL165C	XV	1647	2078	-	432	6	14	33	6	9	0	0
YOL007C	XV	311342	312367	-	1026	32	118	1209	1956	2637	219	504
YOR307C	XV	892731	894092	-	1362	46	255	2029	2440	3727	372	1016
YOL051W	XV	234940	238185	+	3246	86	162	1602	1502	2190	183	490
YOR091W	XV	493433	494470	+	1038	339	174	1457	2029	2873	186	656
YOR079C	XV	473475	474416	-	942	52	112	977	1146	1674	175	444
YOL022C	XV	280272	281498	-	1227	134	182	1427	1948	2780	254	641
YOR278W	XV	842817	843644	+	828	20	94	415	422	688	52	131
YOR024W	XV	377847	378170	+	324	4	0	25	23	12	0	7
YOL148C	XV	45760	47574	-	1815	8	52	600	742	1044	74	224
YOL078W	XV	181682	185212	+	3531	32	44	499	581	956	81	213
tP(UGG)O3	XV;XV	980683;980752	980718;980787	+;+	72	74	15	133	119	201	19	43
YOR089C	XV	490196	490828	-	633	206	270	1100	1404	1974	85	349
YOL098C	XV	132725	135838	-	3114	694	892	6398	6501	9223	1103	2977
YOR171C	XV	652010	653884	-	1875	206	195	1625	1649	2128	167	522
YOL089C	XV	150398	153490	-	3093	34	202	881	988	1499	177	360
YOL150C	XV	44473	44784	-	312	0	0	0	0	0	0	0
YOR095C	XV	503552	504328	-	777	92	169	1220	2090	2871	321	850
YOL146W	XV	48864	49448	+	585	92	78	492	659	866	63	176
YOR224C	XV	760825	761265	-	441	359	696	4910	6185	8892	883	2635
YOR302W	XV	882765	882842	+	78	0	72	484	526	731	71	128
YOR286W	XV	850280	850729	+	450	146	127	1253	2013	3114	269	721
YOR046C	XV	414459	415907	-	1449	88	230	1775	3469	4778	426	1155
tG(CCC)O	XV	594354	594425	-	72	2	0	17	16	39	7	5
YOR388C	XV	1071793	1072923	-	1131	4	4	13	26	22	4	6
YOR228C	XV	766869	767777	-	909	40	32	373	364	627	46	150
YOL112W	XV	106710	108188	+	1479	118	92	539	859	1041	71	235
YOR141C	XV	589942	592587	-	2646	142	108	1386	1358	1932	202	417
YOL131W	XV	73031	73357	+	327	0	0	13	19	36	3	4
YOR049C	XV	422668	423732	-	1065	14	34	309	303	440	44	93
YOL143C	XV	54595	55104	-	510	87	232	1721	2467	3425	251	680
YOR172W	XV	654210	656570	+	2361	78	204	1043	1042	1483	134	355
YOR149C	XV	609838	611388	-	1551	12	120	1049	1384	1985	221	565
YOL164W	XV	6175	8115	+	1941	114	115	938	668	1129	88	247
YOR011W	XV	349679	353863	+	4185	90	128	962	1123	1558	172	418
YOR071C	XV	459480	461276	-	1797	160	199	1983	2346	3351	296	827
YOR022C	XV	373710	375857	-	2148	18	72	429	536	845	48	158
YOR125C	XV	559030	559731	-	702	36	30	457	780	1011	100	251
YOL141W	XV	56452	58539	+	2088	12	78	699	799	1226	144	339
YOR101W	XV	515244	516173	+	930	145	170	1294	2009	2931	245	580
YOR263C	XV	818757	819164	-	408	0	0	8	5	1	0	5
YOR383C	XV	1060441	1061055	-	615	110	104	1535	2265	3300	184	701
YOR056C	XV	430247	431626	-	1380	128	196	1209	1704	2258	189	529
YOL075C	XV	189658	193542	-	3885	184	334	1848	2342	3490	403	1021
YOR073W-A	XV	467390	467623	+	234	0	0	0	2	2	0	0
YOR246C	XV	795801	796793	-	993	378	241	2431	3082	4904	456	1321
YOR042W	XV	408425	409660	+	1236	112	118	1087	1281	1892	104	396
YOR236W	XV	780906	781541	+	636	38	54	384	451	598	74	133
YOR183W	XV	678872	679261	+	390	6	4	54	43	62	2	14
YOR176W	XV	662401	663582	+	1182	148	275	1918	2113	3143	297	809
YOR238W	XV	783677	784588	+	912	24	90	519	726	1000	76	158
YOR367W	XV	1026007	1026609	+	603	42	170	535	703	869	59	146
YOR297C	XV	874743	875321	-	579	14	66	518	937	1255	112	370
YOR310C	XV	896825	898360	-	1536	530	758	5803	8362	11548	1347	3156
YOR063W	XV	444686	445849	+	1164	12300	6429	58705	77955	116813	13631	38412
YOR189W	XV	689624	689974	+	351	30	45	364	400	564	36	82
YOL129W	XV	77560	78114	+	555	194	444	2608	2560	3437	299	987
YOR280C	XV	844992	845792	-	801	20	136	616	634	921	96	246
YOR037W	XV	401555	402655	+	1101	20	108	408	486	637	54	166
YOR090C	XV	491123	492841	-	1719	57	108	1142	1383	1953	176	470
YOR313C	XV	901858	902874	-	1017	0	6	45	170	256	22	57
YOL032W	XV	265429	266169	+	741	34	72	441	360	433	34	78
YOR158W	XV	632164	633120	+	957	32	62	527	677	1025	66	188
YOR162C	XV	639560	641992	-	2433	26	112	663	797	1086	100	239
YOL092W	XV	144204	145130	+	927	72	334	2842	4087	6054	654	1713
YOL061W	XV	212244	213734	+	1491	443	802	6710	8196	12437	1420	3622
YOR232W	XV	774573	775259	+	687	78	238	1132	2279	2991	281	589
YOR219C	XV	752214	755009	-	2796	52	174	1359	1524	1994	181	500
YOR182C	XV;XV	678191;678791	678379;678793	-;-	192	848	601	5078	9171	14246	1202	3628
YOL099C	XV	132017	132508	-	492	0	0	1	6	6	0	1
YOR294W	XV	868340	868951	+	612	175	217	1022	1903	2619	247	722
YOR288C	XV	852121	853077	-	957	56	154	768	799	1190	98	246
YOR110W	XV	528941	530248	+	1308	70	96	628	888	1305	81	274
YOR040W	XV	407064	407921	+	858	16	26	308	452	697	55	116
YOL083W	XV	165714	166952	+	1239	2	28	213	153	248	14	39
YOL136C	XV	67561	68754	-	1194	171	379	2527	4094	5401	598	1438
YOL130W	XV	74400	76979	+	2580	262	456	3342	3400	5170	553	1392
YOL021C	XV	282421	285426	-	3006	358	572	4527	5151	7823	792	2034
YOR282W	XV	847000	847320	+	321	0	0	1	3	0	0	0
YOL077W-A	XV	185438	185644	+	207	2	126	1066	849	1271	101	257
YOR319W	XV	912822	913463	+	642	12	6	334	425	648	57	160
YOR030W	XV	386825	388684	+	1860	40	208	1237	1373	2001	174	429
YOR291W	XV	861175	865593	+	4419	238	448	2795	4138	6043	749	1773
YOL077C	XV	185848	186723	-	876	164	300	2334	3197	4547	455	978
YOR390W	XV	1076784	1077911	+	1128	12	40	210	498	618	70	155
YOL052C-A	XV	231570	231755	-	186	17	137	1103	379	523	24	55
YOR123C	XV	553176	554570	-	1395	72	58	414	582	871	62	247
YOR013W	XV	356751	357221	+	471	10	20	111	225	324	30	74
YOR249C	XV	798674	800731	-	2058	28	106	378	693	837	46	208
YOR362C	XV	1017880	1018746	-	867	417	389	4017	3607	5305	373	1110
YOL058W	XV	219211	220473	+	1263	622	372	4030	1205	1810	166	326
YOR143C	XV	601383	602342	-	960	22	76	328	509	690	38	167
YOR347C	XV	984942	986462	-	1521	290	241	1611	1134	1668	110	314
YOL157C	XV	22525	24294	-	1770	60	42	196	144	256	27	42
YOL057W	XV	220767	222902	+	2136	218	278	2755	3198	4613	569	1390
YOR321W	XV	916030	918291	+	2262	124	170	1713	2266	3428	300	851
YOR015W	XV	359993	360352	+	360	24	15	309	347	489	34	118
YOR111W	XV	530429	531127	+	699	31	17	174	249	331	47	94
YOL008W	XV	310312	310935	+	624	2	69	510	522	805	76	212
YOR279C	XV	843698	844630	-	933	18	49	130	209	326	12	51
YOR394C-A	XV	1084202	1084369	-	168	0	0	0	0	0	0	0
YOR180C	XV	674352	675167	-	816	6	18	121	228	298	25	87
YOL055C	XV	224420	226075	-	1656	170	106	1473	1042	1530	99	296
snR5	XV	842403	842606	+	204	24	1986	10774	9529	15541	1522	3342
YOL139C	XV	60383	61024	-	642	259	590	3961	5191	7307	695	1844
YOR287C	XV	850937	851839	-	903	142	72	471	567	665	60	185
YOR198C	XV	718653	720065	-	1413	625	830	5915	7806	9994	715	1839
YOR053W	XV	427817	428158	+	342	0	0	1	1	0	0	0
YOL054W	XV	228614	229834	+	1221	74	30	349	335	495	44	97
YOR012W	XV	356543	356956	+	414	2	43	99	214	312	17	62
YOL118C	XV	96608	96916	-	309	4	37	136	239	361	23	51
YOR034C	XV	394837	397086	-	2250	170	181	1201	1935	2878	362	970
YOR374W	XV	1039840	1041399	+	1560	1793	1156	8484	11529	17048	987	2879
YOR018W	XV	364369	366882	+	2514	38	70	999	1048	1534	125	338
YOL084W	XV	162356	165331	+	2976	52	20	413	338	506	40	114
YOR314W	XV	903043	903372	+	330	0	0	10	40	70	3	14
YOR050C	XV	424270	424617	-	348	10	12	79	60	89	7	21
YOR391C	XV	1078545	1079258	-	714	3	10	25	20	11	0	1
YOR327C	XV	930734	931081	-	348	116	142	1293	1452	2110	104	394
YOR352W	XV	997213	998244	+	1032	6	52	381	307	566	41	90
YOR348C	XV	986899	988782	-	1884	42	2	291	385	650	22	127
YOL115W	XV	101475	103229	+	1755	60	95	920	1140	1697	124	387
YOR066W	XV	449436	451325	+	1890	21	153	783	927	1354	123	294
YOR072W-A	XV	461791	462039	+	249	0	10	37	37	62	2	8
YOL096C	XV	138107	139045	-	939	38	12	222	378	466	38	106
tM(CAU)O2	XV	976421	976493	+	73	0	0	14	30	30	0	11
YOR020C	XV	370524	370844	-	321	1647	1455	11066	18015	26422	2404	6633
YOR133W	XV	575098	577626	+	2529	1318	985	8431	10905	15692	1672	4796
YOR356W	XV	1007221	1009116	+	1896	226	158	1181	1418	1985	210	504
YOR208W	XV	733925	736177	+	2253	34	221	1403	1268	1625	116	345
YOR357C	XV	1009224	1009712	-	489	36	90	724	808	1177	82	212
YOR277C	XV	841515	841823	-	309	0	4	3	3	1	0	1
YOR276W	XV	841333	841818	+	486	65	92	690	903	1242	129	344
YOR247W	XV	797676	798308	+	633	28	62	867	1596	1851	200	898
snR50	XV	259489	259578	+	90	17	27	154	568	612	27	96
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	30	28	238	145	200	6	34
YOR221C	XV	756476	757558	-	1083	30	163	1133	1261	1674	190	391
YOR344C	XV	977194	978069	-	876	56	138	723	1090	1600	141	346
YOR269W	XV	826385	827869	+	1485	52	99	826	840	1063	111	381
YOR152C	XV	617518	618288	-	771	6	68	332	368	506	51	114
YOR103C	XV	516449	516841	-	393	0	34	102	113	159	15	34
YOR377W	XV	1046226	1047803	+	1578	12	85	731	1091	1493	126	334
YOR129C	XV	566877	569558	-	2682	106	112	1001	1365	1785	256	443
YOL038C-A	XV	254926	255021	-	96	0	17	42	89	115	8	25
YOR156C	XV	628360	630540	-	2181	10	58	443	467	783	68	152
YOR329C	XV	936731	939349	-	2619	61	116	1251	1181	1624	140	347
YOR351C	XV	995018	996511	-	1494	6	14	118	254	346	32	64
YOL040C	XV	253149	253577	-	429	4928	2742	21397	33305	47605	4898	12924
YOL159C-A	XV	15233	15505	-	273	6	17	169	190	253	16	54
YOR051C	XV	424846	426084	-	1239	222	199	1420	1748	2502	207	564
YOR003W	XV	331455	332891	+	1437	26	58	410	553	715	57	165
YOR064C	XV	446079	446738	-	660	45	52	347	481	722	75	176
YOR073W	XV	464771	466543	+	1773	8	72	410	562	770	60	126
YOR201C	XV	720470	721708	-	1239	64	71	589	651	1014	85	276
YOR065W	XV	447439	448368	+	930	554	358	2970	2312	3320	296	804
YOR186W	XV	683111	683545	+	435	4	0	8	27	23	2	3
YOR045W	XV	413852	414037	+	186	22	109	1026	1389	2129	137	445
YOL018C	XV	290881	292074	-	1194	42	67	464	521	744	36	101
YOL133W	XV	70325	70690	+	366	8	47	225	188	308	12	49
YOR087W	XV	487707	489734	+	2028	164	184	1483	1853	2817	280	628
YOL028C	XV	270633	271370	-	738	39	32	339	488	690	64	126
YOL086C	XV	159548	160594	-	1047	42412	22998	187469	286323	433465	52048	153336
YOL108C	XV	111431	111886	-	456	14	16	79	51	102	12	18
YOL023W	XV	278056	280086	+	2031	32	104	541	604	890	52	186
YOR011W-A	XV	355652	355858	+	207	0	0	7	20	25	0	3
YOR165W	XV	644566	646896	+	2331	286	300	2105	3237	4244	365	1126
YOL068C	XV	200368	201879	-	1512	66	265	1365	1807	2403	216	642
YOR138C	XV	584309	586324	-	2016	326	114	1352	1295	1903	128	425
YOR016C	XV	360461	361084	-	624	60	122	1183	1775	2670	282	655
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	748	817	5736	10217	14772	1360	3908
YOL126C	XV	81787	82920	-	1134	115	257	1929	2013	2889	240	581
YOR235W	XV	779870	780184	+	315	37	115	1066	596	869	102	216
YOR080W	XV	474594	476792	+	2199	18	86	490	682	878	91	177
YOR169C	XV	651376	651840	-	465	0	0	0	1	1	3	3
YOR028C	XV	383533	384420	-	888	8	52	333	343	478	21	85
YOR225W	XV	761392	761721	+	330	1	8	56	76	137	20	36
YOR108C-A	XV	524605	524814	-	210	0	0	0	0	0	0	0
YOR109W	XV	525278	528601	+	3324	253	260	1594	2451	3295	507	1165
YOL093W	XV	142815	143696	+	882	46	102	440	549	812	81	190
YOR147W	XV	606607	608475	+	1869	18	106	782	848	1102	107	252
YOR218C	XV	751476	751895	-	420	0	0	0	1	3	0	0
YOR254C	XV	805032	807023	-	1992	428	662	3920	5148	7035	744	1734
YOL080C	XV	180558	181427	-	870	0	0	94	145	237	16	59
YOR161W-B	XV	637975	638235	+	261	0	0	0	0	0	0	0
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	0	0	9	2	12	0	2
YOR136W	XV	580250	581359	+	1110	403	1085	7033	5647	7976	510	1333
tR(ACG)O	XV	340299	340371	-	73	0	0	9	21	19	1	1
YOR192C-C	XV	703988	704224	-	237	0	9	31	88	106	6	23
YOR205C	XV	725564	727234	-	1671	36	138	714	930	1213	84	286
YOR200W	XV	720417	720815	+	399	0	0	0	0	0	0	0
YOR305W	XV	889022	889750	+	729	24	86	489	768	1054	70	197
YOR195W	XV	712866	715331	+	2466	24	73	557	839	1138	114	228
YOL123W	XV	87844	89448	+	1605	152	246	2160	3064	4054	336	891
YOR097C	XV	506978	507505	-	528	11	51	341	417	689	79	111
YOL083C-A	XV	166461	166601	-	141	0	0	0	0	0	0	0
YOL086W-A	XV	159173	159445	+	273	24	58	347	309	425	42	169
YOR337W	XV	954344	956623	+	2280	104	260	2107	2169	2931	241	701
YOL100W	XV	129237	132482	+	3246	26	118	850	1083	1476	110	326
YOR289W	XV	853357	854112	+	756	26	34	184	153	196	12	46
YOR255W	XV	807271	808107	+	837	0	0	6	9	5	4	0
YOR304W	XV	884514	887876	+	3363	77	184	1161	1797	2391	208	494
YOL163W	XV	9597	10106	+	510	15	22	131	52	75	6	14
YOR077W	XV	471899	472597	+	699	32	20	169	197	303	19	67
YOR074C	XV	466675	467589	-	915	26	113	555	642	893	46	147
YOR117W	XV	545029	546333	+	1305	1055	732	5019	3816	5304	537	1176
YOR055W	XV	429478	429912	+	435	0	0	7	18	17	5	3
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0	0
YOL066C	XV	202696	204471	-	1776	98	126	920	970	1579	138	346
YOR396W	XV	1085473	1090863	+	5391	0	0	1	0	0	0	0
YOR161C-C	XV	639121	639267	-	147	1	0	8	13	11	6	7
tV(AAC)O	XV	663812	663885	-	74	6	5	25	44	79	11	25
YOR151C	XV	612997	616671	-	3675	974	1670	11568	9820	14288	1145	3330
YOR187W	XV	684030	685343	+	1314	1944	1426	10014	12374	18242	1963	4961
YOL001W	XV	325249	326130	+	882	10	79	444	674	872	85	223
YOR005C	XV	334509	337343	-	2835	94	114	880	1027	1365	125	308
YOR199W	XV	720181	720510	+	330	0	8	49	87	125	13	13
YOR355W	XV	1005137	1006705	+	1569	208	629	4842	5294	7211	811	1899
YOR290C	XV	855147	860258	-	5112	442	705	3811	3885	5708	537	1384
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	16	173	934	1140	1526	112	270
YOL014W	XV	299693	300067	+	375	18	61	820	828	1100	102	302
YOR244W	XV	792531	793868	+	1338	16	40	277	262	458	32	90
YOL102C	XV	125997	126689	-	693	4	70	396	586	841	66	151
YOL060C	XV	214017	216137	-	2121	334	572	3606	3720	5254	336	1132
YOL041C	XV	251267	252646	-	1380	128	236	1322	2169	2851	215	669
YOL116W	XV	99809	100957	+	1149	48	94	641	562	891	76	183
YOR353C	XV	998453	1000828	-	2376	4	149	928	986	1500	134	215
YOR299W	XV	878435	880675	+	2241	100	216	1531	1594	2298	255	656
YOR366W	XV	1025256	1025609	+	354	0	0	0	2	2	0	0
tD(GUC)O	XV	571958	572029	+	72	24	10	27	37	78	8	21
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	3918	2369	17389	24915	36302	4377	10743
YOR148C	XV	608640	609197	-	558	14	12	192	188	259	30	55
YOR301W	XV	880965	882272	+	1308	128	70	1077	1540	2218	219	663
YOR257W	XV	811008	811493	+	486	22	28	181	274	339	38	73
YOR135C	XV	580159	580500	-	342	0	20	57	55	83	11	5
YOR032W-A	XV	392176	392376	+	201	0	13	11	30	42	2	8
YOR223W	XV	759782	760660	+	879	66	44	294	422	532	48	130
YOR076C	XV	469377	471620	-	2244	18	156	558	721	900	72	206
YOR231C-A	XV	773163	773363	-	201	0	0	0	0	0	0	0
YOR316C-A	XV	907726	907935	-	210	0	7	28	45	59	17	13
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	6	0	31	72	84	9	29
YOR061W	XV	441534	442553	+	1020	66	216	1548	2155	2704	285	566
YOR025W	XV	378219	379562	+	1344	122	207	1062	1564	2258	179	439
YOR371C	XV	1031489	1034182	-	2694	86	191	1703	2013	2675	263	693
YOL140W	XV	58759	60030	+	1272	128	159	1197	1160	1780	207	511
YOL062C	XV	210520	211995	-	1476	218	406	2670	2809	4015	401	971
YOR292C	XV	865653	866582	-	930	46	130	586	920	1197	84	343
tG(UCC)O	XV	110962	111033	-	72	0	0	1	1	2	0	0
YOR027W	XV	381053	382822	+	1770	2870	4385	32072	37462	52818	2632	7209
tT(AGU)O2	XV	354041	354113	-	73	0	10	8	15	19	2	5
YOR142W-B	XV	595112	600380	+	5269	0	3	31	44	52	15	7
YOR192C-A	XV	708416	709732	-	1317	0	0	0	0	0	0	0
YOL103W-B	XV	118000	123268	+	5269	0	29	137	436	587	26	106
YOR142W-A	XV	595112	596434	+	1323	0	0	0	0	0	0	0
YOR192C-B	XV	704419	709732	-	5314	2	34	422	511	765	54	191
YOR343W-B	XV	970578	975891	+	5314	8	52	602	684	1017	63	171
YOR343W-A	XV	970578	971894	+	1317	0	0	0	0	0	0	0
YOL103W-A	XV	118000	119322	+	1323	0	0	0	0	0	0	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	30	124	825	914	1381	141	328
YGL156W	VII	210416	213667	+	3252	82	135	1336	1310	1900	185	384
YGL015C	VII	465043	465435	-	393	0	2	29	26	21	2	6
RME2	VII	141898	144120	-	2223	1	0	6	3	6	0	1
YGR251W	VII	995639	996229	+	591	20	30	247	417	595	54	114
YGR162W	VII	824059	826917	+	2859	1132	849	6523	9670	13448	1359	3241
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	0	0	17	22	18	11	12
YGR005C	VII	504657	505859	-	1203	56	42	275	303	519	44	114
YGL160W	VII	200561	202273	+	1713	90	210	1253	1694	2148	230	508
snR46	VII	545370	545566	+	197	30	2419	15291	17567	26133	2932	7119
tD(GUC)G1	VII	531610	531681	+	72	2	8	11	29	36	8	15
YGL211W	VII	92512	93591	+	1080	56	88	704	957	1316	149	389
YGR141W	VII	770569	771972	+	1404	44	118	950	925	1254	157	314
YGL239C	VII	49431	49745	-	315	0	0	8	15	31	2	6
YGL097W	VII	321782	323230	+	1449	268	128	1383	1381	1988	180	451
YGR030C	VII	545681	546157	-	477	0	17	124	418	509	37	113
YGR224W	VII	942806	944647	+	1842	38	66	431	484	600	68	140
YGR142W	VII	772454	773686	+	1233	200	150	1185	1076	1240	84	151
YGR186W	VII	867774	869981	+	2208	210	340	1904	1963	2855	228	620
YGR181W	VII	858287	858604	+	318	28	140	638	702	1015	94	272
YGL081W	VII	357377	358339	+	963	12	18	36	154	169	14	20
YGR082W	VII	644044	644595	+	552	134	145	1811	2937	4305	414	1161
YGL028C	VII	441281	442909	-	1629	100	457	4147	6483	9403	897	2386
YGL021W	VII	454785	457067	+	2283	118	268	1324	1687	2340	211	508
YGL110C	VII	301537	303411	-	1875	88	138	715	885	1115	67	222
YGR167W	VII	832456	833157	+	702	170	229	1175	1501	2070	157	489
YGL017W	VII	459854	461365	+	1512	92	102	643	801	1181	120	333
tA(UGC)G	VII	794417	794489	+	73	0	0	0	0	0	0	0
YGR156W	VII	800546	801823	+	1278	42	97	627	981	1457	86	363
YGR291C	VII	1076283	1076504	-	222	0	0	2	5	6	0	0
YGR197C	VII	892497	894140	-	1644	66	83	816	945	1226	151	340
YGR041W	VII	577487	579130	+	1644	68	181	1275	1224	2023	210	533
YGL079W	VII	359444	360100	+	657	38	119	543	679	1003	99	239
YGL107C	VII	304333	306273	-	1941	78	144	1052	1404	1945	160	508
YGL168W	VII	187464	187796	+	333	3	14	118	210	283	28	75
YGL228W	VII	67598	69331	+	1734	400	316	2031	1868	2759	192	588
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	35	145	1425	1153	1748	180	398
YGL050W	VII	405776	406597	+	822	64	151	668	948	1246	86	301
YGR273C	VII	1038715	1039239	-	525	2	7	34	26	32	4	4
YGR086C	VII	649598	650617	-	1020	1828	1112	8608	9355	13439	1137	3001
YGR228W	VII	949365	949709	+	345	0	0	0	0	0	0	0
YGL145W	VII	230243	232348	+	2106	72	125	677	1099	1485	106	281
YGR098C	VII	682566	687458	-	4893	89	255	1535	1809	2716	330	731
YGR074W	VII	635712	636152	+	441	6	8	114	126	171	17	50
YGL098W	VII	317342	318079	+	738	12	40	205	232	394	34	104
snR7-S	VII	939494	939672	-	179	0	0	0	0	0	0	0
YGL096W	VII	325331	326161	+	831	20	46	237	321	404	28	73
YGR240C-A	VII	974577	974777	-	201	2	31	109	117	168	16	48
YGR172C	VII	842845	843591	-	747	124	204	1502	1790	2458	324	766
YGR194C	VII	886073	887875	-	1803	60	115	508	583	738	60	199
YGL026C	VII	446412	448535	-	2124	1718	1530	13503	12376	18589	1689	4700
YGL213C	VII	90054	91247	-	1194	54	148	1044	1284	2009	257	531
YGL248W	VII	35653	36762	+	1110	88	212	875	473	784	45	224
YGL075C	VII	366925	368088	-	1164	30	36	223	287	510	29	91
YGL256W	VII	15159	16307	+	1149	260	314	3227	3756	5264	448	1307
YGL012W	VII	472855	474276	+	1422	1283	1382	11967	12688	18108	1699	4711
YGL082W	VII	355827	356972	+	1146	52	117	793	931	1267	80	299
YGR161C	VII	808629	809420	-	792	48	24	638	296	413	10	70
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	2	18	159	154	250	20	54
YGR274C	VII	1039895	1043095	-	3201	138	200	1375	1426	2112	168	429
YGR031C-A	VII	546809	547300	-	492	0	0	0	0	0	0	0
YGL037C	VII	427297	427947	-	651	201	447	3243	2423	3315	191	583
YGL252C	VII	25718	27484	-	1767	174	256	1700	1872	2818	212	649
YGL250W	VII	31910	32635	+	726	42	59	311	315	399	28	63
YGR260W	VII	1012485	1014089	+	1605	282	620	5645	6387	9136	849	2195
YGR159C	VII	806412	807656	-	1245	1382	719	7003	8578	13356	1198	3608
YGR006W	VII	506070	506825	+	756	6	14	150	187	255	13	63
YGL121C	VII	280777	281157	-	381	22	70	453	283	464	20	55
YGL040C	VII	419527	420555	-	1029	456	577	3745	4977	7488	761	1837
YGR130C	VII	751394	753844	-	2451	446	460	2032	2095	2922	248	677
YGR021W	VII	527632	528504	+	873	50	54	436	750	1088	90	192
YGR097W	VII	678695	682135	+	3441	160	382	3827	3761	5481	394	1150
YGL170C	VII	184153	185394	-	1242	6	10	101	84	158	7	34
YGL166W	VII	191129	191806	+	678	35	65	185	161	243	29	61
YGL104C	VII	308713	310173	-	1461	62	106	545	419	592	40	131
YGR149W	VII	789031	790329	+	1299	16	99	916	1114	1480	181	361
YGR195W	VII	888882	889622	+	741	32	107	826	1028	1466	109	292
tG(GCC)G2	VII	930953	931023	-	71	0	0	2	4	2	0	0
YGR250C	VII	991176	993521	-	2346	110	201	2059	1971	2662	184	547
YGL155W	VII	214081	215211	+	1131	64	177	1086	1363	2091	229	470
YGL216W	VII	84885	87302	+	2418	58	194	1283	1191	1514	144	302
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	62	82	395	684	976	91	203
YGL125W	VII	272520	274322	+	1803	180	120	1492	1632	2555	186	494
YGR038W	VII	560682	561350	+	669	78	139	1022	1383	1866	178	617
YGR008C	VII	508110	508364	-	255	75	44	538	401	653	43	100
YGR248W	VII	985972	986739	+	768	16	68	241	115	180	13	42
YGL094C	VII	331118	334465	-	3348	118	446	2725	3140	4658	428	1166
YGR131W	VII	754726	755250	+	525	2	4	73	76	112	20	24
YGR163W	VII	827552	828577	+	1026	12	38	237	690	1011	112	331
YGR125W	VII	742325	745435	+	3111	108	417	2344	3047	4091	406	990
YGR279C	VII	1048798	1049958	-	1161	1304	1953	17025	25386	35384	3604	10904
YGL022W	VII	452404	454560	+	2157	1823	1835	15235	14971	22032	1998	5524
tD(GUC)G2	VII	544577	544648	-	72	0	2	16	31	37	17	15
YGR271W	VII	1031791	1037694	+	5904	196	272	2208	3524	4779	443	1164
YGL025C	VII	448764	449957	-	1194	10	28	265	362	531	41	129
YGL176C	VII	171415	173079	-	1665	54	96	645	753	1014	69	233
YGR031W	VII	546441	547469	+	1029	68	95	406	508	676	55	153
YGL102C	VII	311505	311933	-	429	0	9	39	95	131	13	26
YGR182C	VII	858551	858904	-	354	0	42	609	506	738	56	141
YGR025W	VII	532639	532941	+	303	1	13	56	104	122	10	24
YGL113W	VII	295932	297938	+	2007	10	55	535	752	943	83	215
YGR188C	VII	872044	875109	-	3066	24	18	375	548	716	47	149
YGL162W	VII	198138	199037	+	900	36	16	182	399	521	21	123
YGL084C	VII	350616	352298	-	1683	76	404	2544	3218	4511	495	993
snR10	VII	345986	346230	+	245	1	1	29	58	84	8	25
YGL196W	VII	129883	131169	+	1287	50	110	949	1476	2249	224	555
RME3	VII	33109	35013	-	1905	0	0	0	0	0	0	0
YGR230W	VII	951894	952307	+	414	4	19	151	219	253	18	49
YGR084C	VII	647123	648142	-	1020	18	124	581	904	1300	76	234
YGL222C	VII	80659	81186	-	528	10	44	421	447	664	50	128
YGR166W	VII	830515	832197	+	1683	22	182	987	818	1045	107	214
YGR122C-A	VII	735630	735758	-	129	2	0	15	34	40	13	4
YGR152C	VII	794674	795492	-	819	45	98	477	637	862	59	221
YGL210W	VII	93792	94460	+	669	24	45	388	543	749	50	147
